headLR1,headFB1,backLR1,backFB1,lHipLR1,lHipFB1,rHipLR1,rHipFB1,lKnee1,rKnee1,headLR2,headFB2,backLR2,backFB2,lHipLR2,lHipFB2,rHipLR2,rHipFB2,lKnee2,rKnee2,headLR3,headFB3,backLR3,backFB3,lHipLR3,lHipFB3,rHipLR3,rHipFB3,lKnee3,rKnee3,GoodForm
2.5516492671649424,2.477015144639809,1.8774096025475662,2.9999784124299875,3.064934888243972,1.827979969703814,3.0832877252442548,1.538661525534064,2.84697949880241,2.793416376080663,2.6100673588281254,2.6542640322150097,1.6662015143961857,3.1409104272385195,1.2732331045054401,1.706604641631552,1.378449751492798,2.7778977294485854,1.2904615663778871,1.1710172882191878,2.5861321730197298,2.467723299721717,2.045914936546432,2.993949690875235,3.105583172782339,1.8572231572067397,3.089834961319928,1.4957623029954499,2.8277445617205124,2.781001644371623,1
2.5861321730197298,2.467723299721717,2.045914936546432,2.993949690875235,3.105583172782339,1.8572231572067397,3.089834961319928,1.4957623029954499,2.8277445617205124,2.781001644371623,2.5402534468072666,2.6542927933289064,1.6500879387791336,3.1057511306101304,1.0906316604720452,1.3950002591527564,1.3348626084067539,2.720600006063302,1.0677592599382675,1.0855860764158187,2.501749596427758,2.5161353414425083,1.8336853285039025,2.9850107619536663,3.080956633531366,1.8075394925777748,3.116879312646117,1.5488160432324054,2.837077131510979,2.7664445155630215,1
2.501749596427758,2.5161353414425083,1.8336853285039025,2.9850107619536663,3.080956633531366,1.8075394925777748,3.116879312646117,1.5488160432324054,2.837077131510979,2.7664445155630215,2.5079869628184253,2.700539196298402,1.6591902099229654,3.0773817925566034,1.0558047482337702,1.3439228295651544,1.301530991661156,2.6825495824144174,1.0029722560232732,1.0250722069134033,2.5293869421779,2.4903004010971332,1.8087051955035531,2.986415668728686,3.0544943622378193,1.8154652775223663,3.1125493481987836,1.5671212423815724,2.835990132685659,2.748053423458697,1
2.5293869421779,2.4903004010971332,1.8087051955035531,2.986415668728686,3.0544943622378193,1.8154652775223663,3.1125493481987836,1.5671212423815724,2.835990132685659,2.748053423458697,2.5786456351526628,2.5900706942299854,1.5791242485283223,3.1201259364898144,1.1228075739675643,1.6215326394016945,1.2470626731748662,2.605971141401245,1.0629644033568593,1.0503865085452568,2.5596669225557855,2.5424619925973557,2.120817879793902,2.996196965225577,3.1239975844878596,1.8500501677413541,3.138301661164152,1.4999852853615363,2.865378333645865,2.774478112777048,1
2.614975960707846,2.4471423415806504,1.953600241129751,2.982706243981314,3.0908007334016343,1.8332398530424316,3.0270921634895496,1.5271413927093311,2.7022650658534095,2.8613816625423287,2.683958595373027,2.5772891296043703,1.6188395313624822,3.090348139814315,1.2013625132325931,1.4774886625684902,1.264820349246806,2.556034135825053,1.276901290783442,1.1521025150763506,2.483736527483353,2.5866271399976952,1.9153268718410579,2.9021943164441835,3.1217208840659314,1.8651340097422435,3.1002899032038727,1.4210328405233275,2.847637515245101,2.8313933546928176,1
2.483736527483353,2.5866271399976952,1.9153268718410579,2.9021943164441835,3.1217208840659314,1.8651340097422435,3.1002899032038727,1.4210328405233275,2.847637515245101,2.8313933546928176,2.6885125023074066,2.557283099823418,1.6383519525718888,3.1280156111502264,1.1923890593770787,1.5780079528794737,1.2598640440897093,2.523803276090014,1.1965193241034155,1.0559177022833652,2.4130826439611015,2.553599471024883,1.7176832564891416,2.970514264652463,3.0898070375686313,1.8241639995781729,3.103770808737335,1.5582125148706676,2.8624860577612115,2.821592293358398,1
2.4130826439611015,2.553599471024883,1.7176832564891416,2.970514264652463,3.0898070375686313,1.8241639995781729,3.103770808737335,1.5582125148706676,2.8624860577612115,2.821592293358398,2.834447046882927,2.5308262265769264,1.666861006016692,3.121298551023744,1.2906289004292222,1.7032339146256492,1.2656633841422533,2.5612641229117568,1.3163510282811783,1.118528467801111,2.5697285579198885,2.5043608510446553,1.9795963884847156,3.00739587538172,3.073856444902308,1.8615079139472723,3.1076457501296963,1.5733493022995984,2.8715547174456,2.8182405998136986,1
2.5697285579198885,2.5043608510446553,1.9795963884847156,3.00739587538172,3.073856444902308,1.8615079139472723,3.1076457501296963,1.5733493022995984,2.8715547174456,2.8182405998136986,2.794602021278727,2.538027097678057,1.6345312967474013,3.1091346526069024,1.2136887942493004,1.6386861019704264,1.297508678672327,2.5887823374732735,1.1657989784198017,1.0501325884497572,2.719102091649267,2.433544001951472,2.281229596130451,2.9774074490063187,3.106568123642471,1.8842314381581013,3.0925040970462887,1.5246252502492568,2.842293525369257,2.7796458413761918,1
2.719102091649267,2.433544001951472,2.281229596130451,2.9774074490063187,3.106568123642471,1.8842314381581013,3.0925040970462887,1.5246252502492568,2.842293525369257,2.7796458413761918,2.611578289020069,2.626141852120416,1.6705599611861075,3.061518510131006,1.2071995286320205,1.469071795165481,1.3756431160866331,2.7959526332650237,1.2144742511927045,1.163564293786885,2.631784348488542,2.423835940523715,2.126989679317644,3.0027714082663435,3.122316805206956,1.8846750687827956,3.1114330485334882,1.5560501295286524,2.8270113007451307,2.776167456595873,1
2.6361071682420993,2.471216861976756,2.360578880053555,2.9213102170254275,3.0156161524925023,1.9587543739600497,3.0904728694884267,1.4429220491999946,2.7650386940716674,2.7966136434244175,2.5769620147962016,2.6324005407825215,1.5568488583969564,3.1127691843973233,1.0548179849361374,1.669138808046087,1.2878185301929101,2.544420156046207,1.1228615380687264,1.1002893357452805,2.4547815143946643,2.5915256840913483,1.7218229328130727,2.99255367492948,3.070632984255598,1.8176310636318709,3.0965352470276883,1.5729038758628417,2.855357229476159,2.780157676950269,1
